HST,Fase_Utama,Sub_Fase,Target_SM_Bawah_pct,Target_SM_Atas_pct,Wilting_Point_pct,Kc
0,VEGETATIF,Seedling_Establishment,80,90,59,1.05
1,VEGETATIF,Seedling_Establishment,80,90,59,1.05
2,VEGETATIF,Seedling_Establishment,80,90,59,1.05
3,VEGETATIF,Seedling_Establishment,80,90,59,1.05
4,VEGETATIF,Seedling_Establishment,80,90,59,1.05
5,VEGETATIF,Seedling_Establishment,80,90,59,1.05
6,VEGETATIF,Seedling_Establishment,80,90,59,1.05
7,VEGETATIF,Seedling_Establishment,80,90,59,1.05
8,VEGETATIF,Seedling_Establishment,80,90,59,1.05
9,VEGETATIF,Seedling_Establishment,80,90,59,1.05
10,VEGETATIF,Seedling_Establishment,80,90,59,1.05
11,VEGETATIF,Seedling_Establishment,80,90,59,1.05
12,VEGETATIF,Seedling_Establishment,80,90,59,1.05
13,VEGETATIF,Seedling_Establishment,80,90,59,1.05
14,VEGETATIF,Seedling_Establishment,80,90,59,1.05
15,VEGETATIF,Seedling_Establishment,80,90,59,1.05
16,VEGETATIF,Early_Tillering,75,85,59,1.10
17,VEGETATIF,Early_Tillering,75,85,59,1.10
18,VEGETATIF,Early_Tillering,75,85,59,1.10
19,VEGETATIF,Early_Tillering,75,85,59,1.10
20,VEGETATIF,Early_Tillering,75,85,59,1.10
21,VEGETATIF,Early_Tillering,75,85,59,1.10
22,VEGETATIF,Early_Tillering,75,85,59,1.10
23,VEGETATIF,Early_Tillering,75,85,59,1.10
24,VEGETATIF,Early_Tillering,75,85,59,1.10
25,VEGETATIF,Early_Tillering,75,85,59,1.10
26,VEGETATIF,Early_Tillering,75,85,59,1.10
27,VEGETATIF,Early_Tillering,75,85,59,1.10
28,VEGETATIF,Early_Tillering,75,85,59,1.10
29,VEGETATIF,Early_Tillering,75,85,59,1.10
30,VEGETATIF,Early_Tillering,75,85,59,1.10
31,VEGETATIF,Early_Tillering,75,85,59,1.10
32,VEGETATIF,Early_Tillering,75,85,59,1.10
33,VEGETATIF,Early_Tillering,75,85,59,1.10
34,VEGETATIF,Early_Tillering,75,85,59,1.10
35,VEGETATIF,Early_Tillering,75,85,59,1.10
36,VEGETATIF,Active_Tillering,75,85,59,1.15
37,VEGETATIF,Active_Tillering,75,85,59,1.15
38,VEGETATIF,Active_Tillering,75,85,59,1.15
39,VEGETATIF,Active_Tillering,75,85,59,1.15
40,VEGETATIF,Active_Tillering,75,85,59,1.15
41,VEGETATIF,Active_Tillering,75,85,59,1.15
42,VEGETATIF,Active_Tillering,75,85,59,1.15
43,VEGETATIF,Active_Tillering,75,85,59,1.15
44,VEGETATIF,Active_Tillering,75,85,59,1.15
45,VEGETATIF,Active_Tillering,75,85,59,1.15
46,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
47,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
48,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
49,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
50,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
51,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
52,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
53,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
54,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
55,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
56,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
57,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
58,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
59,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
60,REPRODUKTIF,Panicle_Initiation,80,90,59,1.16
61,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
62,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
63,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
64,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
65,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
66,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
67,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
68,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
69,REPRODUKTIF,Booting_Early_Reproductive,80,90,59,1.20
